2015-01-01	81434
2015-01-02	78983
2015-01-03	77692
2015-01-04	71037
2015-01-05	73472
2015-01-06	75856
2015-01-07	106745
2015-01-08	71725
2015-01-09	68553
2015-01-10	77883
2015-01-11	76795
2015-01-12	78911
2015-01-13	84805
2015-01-14	81572
2015-01-15	77794
2015-01-16	91930
2015-01-17	112217
2015-01-18	132680
2015-01-19	144355
2015-01-20	125636
2015-01-21	103057
2015-01-22	108750
2015-01-23	141114
2015-01-24	118844
2015-01-25	86283
2015-01-26	97184
2015-01-27	118983
2015-01-28	148717
2015-01-29	168819
2015-01-30	153638
2015-01-31	151796
2016-01-01	74980
2016-01-02	67101
2016-01-03	67167
2016-01-04	65052
2016-01-05	64651
2016-01-06	71171
2016-01-07	78354
2016-01-08	64016
2016-01-09	66057
2016-01-10	68482
2016-01-11	63835
2016-01-12	58571
2016-01-13	60843
2016-01-14	67083
2016-01-15	79762
2016-01-16	86994
2016-01-17	100688
2016-01-18	106771
2016-01-19	115049
2016-01-20	105277
2016-01-21	106099
2016-01-22	108791
2016-01-23	117431
2016-01-24	131066
2016-01-25	112363
2016-01-26	124186
2016-01-27	109508
2016-01-28	122526
2016-01-29	145243
2016-01-30	150995
2016-01-31	2954
2017-01-01	76242
2017-01-02	49963
2017-01-03	54896
2017-01-04	66002
2017-01-05	77393
2017-01-06	82685
2017-01-07	106446
2017-01-08	91721
2017-01-09	66089
2017-01-10	76542
2017-01-11	70755
2017-01-12	76255
2017-01-13	87676
2017-01-14	86512
2017-01-15	84963
2017-01-16	87793
2017-01-17	97482
2017-01-18	129002
2017-01-19	140760
2017-01-20	142438
2017-01-21	125263
2017-01-22	146891
2017-01-23	60400
2017-01-24	75754
2017-01-25	110228
2017-01-26	130186
2017-01-27	146000
2017-01-28	135649
2017-01-29	151048
2017-01-30	159331
2017-01-31	145864
