32768	1 32768U 08018B   14365.23996632 -.00000273  00000-0  00000+0 0  2784\	2 32768 000.0269 061.6934 0002252 236.9490 177.3247 01.00270138 24625
40131	1 40131U 98067FA  14365.90966737  .13851217  12203-4  16537-2 0  3252\	2 40131 051.6048 186.7651 0007248 231.9434 128.5828 16.35604541 20670
32951	1 32951U 08024A   14365.43736609  .00000017  00000-0  00000+0 0  1596\	2 32951 000.0062 038.2215 0003187 247.7864 208.2011 01.00272877 24170
36032	1 36032U 09058A   14365.02793258  .00000063  00000-0  00000+0 0   350\	2 36032 000.0353 296.4780 0003325 338.0344 251.9043 01.00272115 18979
36397	1 36397U 10006A   14365.79135253 -.00000242  00000-0  00000+0 0   325\	2 36397 000.0189 330.3306 0002065 315.9503 019.7148 01.00272089 17833
37834	1 37834U 11056A   14365.75137102  .00000045  00000-0  00000+0 0  7742\	2 37834 000.0054 026.2630 0002491 247.5812 276.7227 01.00272833 11933
39122	1 39122U 13012A   14365.96091668 -.00000021  00000-0  00000+0 0  4176\	2 39122 000.0046 339.9725 0002922 292.6353 056.7978 01.00272177  6502
39233	1 39233U 13044A   14365.85987716  .00000135  00000-0  00000+0 0  3916\	2 39233 000.0443 348.9553 0002176 289.5218 156.7480 01.00269127  4958
39728	1 39728U 14023B   14365.85783007  .00000053  00000-0  00000+0 0  2020\	2 39728 000.0272 190.8248 0001306 166.5517 110.1029 01.00269500  2486
25740	1 25740U 99027A   14365.43828847 -.00000207  00000-0  10000-3 0  7316\	2 25740 000.0270 048.9626 0005821 239.8327 242.2679 01.00272351 57234
37809	1 37809U 11049A   14365.43827322 -.00000204  00000-0  10000-3 0  7193\	2 37809 000.0210 035.0065 0002981 238.0901 257.4467 01.00271530 12056
22849	1 22849U 92089D   14365.36772994  .00052504 -24151-6  42056-3 0  6767\	2 22849 034.9476 083.2158 2896854 331.1550 058.3515 09.73457029500555
25994	1 25994U 99068A   15001.07615712  .00000136  00000-0  40270-4 0  9703\	2 25994 098.2070 077.9701 0001307 109.3154 250.8085 14.57122574799889
39008	1 39008U 12065A   14365.86324885 -.00000290  00000-0  10000-3 0  4617\	2 39008 000.0028 039.9571 0002834 238.2417 071.2475 01.00270825  7839
29643	1 29643U 06054A   14365.43767863 -.00000057  00000-0  10000-3 0  3814\	2 29643 000.0318 097.6719 0001974 186.4907 221.9950 01.00273072 29576
27831	1 27831U 03028B   14365.81531223 -.00000155  00000-0  00000+0 0  3151\	2 27831 000.0426 157.8820 0003577 106.1527 285.6212 01.00273014 42358
39035	1 39035U 12075B   14365.61300714 -.00000034  00000-0  10000-3 0  5927\	2 39035 000.0393 204.7155 0002097 063.5511 297.5472 01.00271509  7503
29520	1 29520U 06049A   14365.61300714 -.00000031  00000-0  00000+0 0  4188\	2 29520 000.0106 242.4414 0000517 016.8697 306.0702 01.00269999 30037
38551	1 38551U 12035A   15001.18181311 -.00000083  00000-0  00000+0 0  5991\	2 38551 000.0226 022.2743 0002667 256.6181 139.9497 01.00271057  9165
39484	1 39484U 13076B   15001.19596157  .00000010  00000-0  00000+0 0  1504\	2 39484 082.4893 256.8845 0021412 219.5912 140.3599 12.42881026 46264
37401	1 37401U 99025EFT 14365.82261879  .00000984  00000-0  35219-3 0  2315\	2 37401 098.7993 011.1255 0182702 076.7823 285.3667 14.27417693283194
37788	1 37788U 11044A   14365.90287097  .00000739  00000-0  13116-3 0  1787\	2 37788 098.2030 101.8331 0039688 055.4845 063.4417 14.69772532180885
14700	1 14700U 84013B   14365.87160103  .00000383  00000-0  44166-4 0  6427\	2 14700 082.5386 275.9876 0020987 053.8497 011.5175 14.82843327667856
27620	1 27620U 02060D   14365.65470535 -.00000053  00000-0  00000+0 0  4970\	2 27620 064.9812 095.8996 0003263 237.7298 118.9982 02.13449841 93700
136	1 00136U 61015W   14365.74949328  .00001280  00000-0  50055-3 0  5836\	2 00136 067.5313 142.4774 0054729 220.8593 138.8404 14.31687835756879
30575	1 30575U 99025ALR 14365.70141512  .00002222  00000-0  92158-3 0  1274\	2 30575 099.2266 161.7451 0059711 265.4366 222.4810 14.26685665410391
20453	1 20453U 90008B   14365.73259923  .00007962  00000-0  48813-3 0  1689\	2 20453 035.6291 089.7599 0313424 282.6696 073.9151 14.76783483314954
10585	1 10585U 78005C   14365.88864891 -.00000014  00000-0  98120-5 0  8619\	2 10585 074.0333 301.4914 0028155 107.2833 309.5332 12.55637723694889
309	1 00309U 62025A   14365.83359104  .00000567  00000-0  13654-3 0  3117\	2 00309 058.0933 047.6372 0189967 283.9554 074.0413 14.56074381771707
33562	1 33562U 89006BE  14365.64399109 -.00000011  00000-0  00000+0 0  5776\	2 33562 008.0247 115.8447 7040779 067.7631 007.4119 02.23373768 71276
544	1 00544U 61015GD  14365.70007486  .00000177  00000-0  32299-3 0  5525\	2 00544 066.8754 091.7245 0188707 191.7752 322.4693 13.54217441635108
652	1 00652U 61015HD  14365.87006906  .00001369  00000-0  84249-3 0  2049\	2 00652 066.6984 272.8583 0082239 046.2608 024.8496 14.06883567703976
659	1 00659U 61015HL  14365.86596171  .00000464  00000-0  14059-2 0  6009\	2 00659 067.1657 314.6661 0590654 005.4944 022.4671 12.64988643461369
702	1 00702U 63014H   14365.60124062  .00000043  00000-0  19027-1 0   553\	2 00702 087.3331 229.7330 0036803 271.4983 088.1656 08.65599251632089
24894	1 24894U 97041A   14365.88183391 -.00000223  00000-0  00000+0 0  1526\	2 24894 012.6712 035.1093 0166513 190.4723 350.5588 01.00264268 63694
1514	1 01514U 65065F   14365.85261330  .00000090  00000-0  15744-3 0   444\	2 01514 089.8029 279.5620 0071986 065.2956 003.5589 13.34818119403370
809	1 00809U 64026D   14365.82615436  .00000206  00000-0  11328-3 0  6666\	2 00809 090.5087 308.3991 0043109 108.1963 252.3921 14.08535482589057
37395	1 37395U 11016D   14365.65753760  .00073771  00000-0  74141-2 0  3048\	2 37395 005.4981 173.4892 5853503 180.9328 334.4467 04.29544597 45098
1360	1 01360U 65034B   14365.67040948 -.00000043  00000-0  00000+0 0  8182\	2 01360 032.1488 269.1351 3966904 340.8066 007.7353 04.64824917843341
28544	1 28544U 05005C   14365.59695928  .00001359  00000-0  62992-3 0  9512\	2 28544 006.8007 173.0287 7140226 342.7481 009.9273 02.44169207 84585
27617	1 27617U 02060A   14365.28603843 -.00000051  00000-0  00000+0 0  6133\	2 27617 064.9720 096.4452 0000308 169.6729 173.5655 02.13102158 93551
35225	1 35225U 99025DQH 14365.93459991  .00008034  00000-0  43468-2 0  4133\	2 35225 103.2809 271.1582 0064303 185.5356 174.5911 14.11930107375287
37929	1 37929U 99025EPE 14365.72696170  .00009854  00000-0  16317-2 0  2159\	2 37929 099.0109 199.1378 0192020 000.3381 359.7559 14.58997761233779
1571	1 01571U 65070B   14365.84755345 -.00000088  00000-0  42005-4 0  3617\	2 01571 056.0622 311.9627 0087537 219.0421 241.1194 12.48818635250224
39625	1 39625U 14014B   14365.83890713  .00002777  00000-0  20748-3 0  2768\	2 39625 098.3004 076.5291 0141680 230.9998 127.8535 14.96084106 41196
1617	1 01617U 65073J   14365.89023177 -.00000188  00000-0 -74001-3 0  9727\	2 01617 056.1296 216.1566 0211774 284.4906 168.9704 12.33410650214139
40139	1 40139U 98067FE  15001.09761780  .00171119  00000-0  65471-3 0  3262\	2 40139 051.6292 188.5392 0010395 213.0649 249.3487 15.86358535 18402
24901	1 24901U 97042A   15001.22828382 -.00000039  00000-0  10000-3 0  3654\	2 24901 003.1950 069.0699 0003509 207.3355 263.3019 01.00272743 63590
40140	1 40140U 98067FF  15001.05179550  .00378574  00000-0  25599-2 0  3325\	2 40140 051.6378 191.3027 0005594 195.3124 247.0260 15.73352786 18368
39624	1 39624U 14014A   15001.08311264  .00000804  00000-0  17926-3 0  8759\	2 39624 098.2245 058.1447 0013464 083.1182 277.1549 14.59433109 40240
28891	1 28891U 05043B   15001.06780495  .00000491  00000-0  10909-3 0  2119\	2 28891 097.8172 192.3416 0018061 107.3158 253.0011 14.60858402489204
1618	1 01618U 65073K   14365.67147462  .00000021  00000-0  86439-3 0  4826\	2 01618 056.1788 200.6436 0227763 316.8225 109.9496 12.29495877208628
29197	1 29197U 78047C   14365.90486571  .00105156  00000-0  10119+0 0  5875\	2 29197 063.8715 172.8725 3142038 177.0489 346.3831 08.57113013365594
7126	1 07126U 73086CQ  14365.71310743  .00000271  00000-0  20655-2 0  3506\	2 07126 101.8272 034.5217 0296024 200.9189 288.6152 12.38610451855970
4322	1 04322U 70008C   14365.77627656 -.00000033  00000-0  76647-4 0   263\	2 04322 101.8636 064.1318 0028795 127.3996 344.4358 12.51880204 53627
40142	1 40142U 14052B   14361.97334517  .99999999 -35909-5  46851-2 0   617\	2 40142 025.0560 173.1511 0836305 315.9181 170.1956 14.58400904  2706
20503	1 20503U 76067BX  14365.84921003  .00000702  00000-0  33350-3 0  5781\	2 20503 065.7397 314.6192 0927672 286.5095 063.6078 12.97545064162308
38396	1 38396U 65027CZ  14365.66748455  .00000414  00000-0  14233-2 0  3834\	2 38396 090.3011 263.5699 0034694 306.1137 053.6773 12.96255892590006
2620	1 02620U 63049H   14365.82597192  .00000247  00000-0  32815-3 0  4859\	2 02620 089.9513 108.5866 0017509 144.8316 343.4763 13.57990774522584
18490	1 18490U 68097EN  14365.55723138  .00005959  00000-0  98292-3 0  9211\	2 18490 062.7283 198.2354 0590865 057.8123 338.7556 13.95633003749384
2702	1 02702U 66076D   14365.81718519  .00000108  00000-0  18312-3 0  6911\	2 02702 088.5774 126.0819 0089461 165.1231 352.1096 13.35654302337939
20442	1 20442U 90005G   14365.80154298  .00000136  00000-0  65988-4 0  1400\	2 20442 098.4987 299.6531 0010609 284.3987 075.6019 14.32662038302975
