mmsi,dt,status,vesseltype,sog_mean,sog_min,sog_max,sog_std,count,length,width,draft,vessel,autoencode_loss
367714010,2017-01-28 17:00:00,under way using engine,1025,0.0,0.0,0.0,0.0,53,30.779999999999976,0.0,0.0,tugtow,0.1561543196439743
367729000,2016-01-25 23:00:00,moored,1001,0.0,0.0,0.0,0.0,20,57.90999999999999,12.199999999999996,3.7000000000000015,fishing,0.17026962339878082
367729000,2016-01-26 00:00:00,moored,1001,8.328846153846152,0.2,11.1,2.064008715065726,52,57.909999999999975,12.200000000000005,3.6999999999999975,fishing,0.16640199720859528
367729000,2017-01-20 11:00:00,moored,1001,0.0,0.0,0.0,0.0,20,57.90999999999999,12.199999999999996,3.7000000000000015,fishing,0.17281417548656464
367729000,2017-01-20 12:00:00,moored,1001,0.0,0.0,0.0,0.0,23,57.910000000000004,12.199999999999996,3.7000000000000015,fishing,0.21168126165866852
367729000,2017-01-20 13:00:00,moored,1001,0.0,0.0,0.0,0.0,21,57.91,12.199999999999998,3.7000000000000015,fishing,0.2260994166135788
367729000,2017-01-20 14:00:00,moored,1001,0.0,0.0,0.0,0.0,20,57.90999999999999,12.199999999999996,3.7000000000000015,fishing,0.2053285390138626
367730000,2017-01-30 08:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,54.86999999999993,12.200000000000005,3.6999999999999975,fishing,0.15178214013576508
367730000,2017-01-30 09:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,54.86999999999993,12.200000000000005,3.6999999999999975,fishing,0.20252396166324615
367730000,2017-01-30 10:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,54.86999999999993,12.200000000000005,3.6999999999999975,fishing,0.24257536232471466
367730000,2017-01-30 11:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,54.86999999999993,12.200000000000005,3.6999999999999975,fishing,0.25469520688056946
367730000,2017-01-30 12:00:00,under way using engine,1001,0.0,0.0,0.0,0.0,52,54.86999999999993,12.200000000000005,3.6999999999999975,fishing,0.21514542400836945
367774000,2016-01-24 11:00:00,under way using engine,1001,0.06491228070175442,0.0,0.1,0.04814868367202131,57,22.85999999999999,6.720000000000009,0.0,fishing,0.15311282873153687
367774000,2016-01-24 12:00:00,under way using engine,1001,0.08103448275862067,0.0,0.1,0.039545206428619806,58,22.859999999999985,6.720000000000009,0.0,fishing,0.1828191578388214
367774000,2016-01-24 13:00:00,under way using engine,1001,0.09482758620689649,0.0,0.2,0.02915424072011004,58,22.859999999999985,6.720000000000009,0.0,fishing,0.19870367646217346
367774000,2016-01-24 14:00:00,under way using engine,1001,0.07592592592592595,0.0,0.1,0.04315476835930594,54,22.859999999999992,6.720000000000007,0.0,fishing,0.18547113239765167
367774000,2017-01-22 00:00:00,under way using engine,1001,0.03148148148148149,0.0,0.1,0.046880313581901166,54,22.859999999999992,6.720000000000007,0.0,fishing,0.16680201888084412
367774000,2017-01-22 01:00:00,under way using engine,1001,2.1913793103448267,0.0,9.4,3.4194123062693373,58,22.859999999999985,6.720000000000009,0.0,fishing,0.1668574959039688
367777000,2015-01-16 11:00:00,undefined,0,6.476470588235293,0.0,9.2,3.234166862441956,51,34.0,8.0,0.0,na,0.17036201059818268
367777000,2015-01-16 12:00:00,undefined,0,0.0035714285714285718,0.0,0.1,0.018898223650461364,28,34.0,8.0,0.0,na,0.18748626112937927
367777000,2015-01-16 13:00:00,undefined,0,0.007692307692307693,0.0,0.1,0.026906911759852502,52,34.0,8.0,0.0,na,0.17908306419849396
367777000,2017-01-05 23:00:00,undefined,0,0.011320754716981131,0.0,0.1,0.031987842392976584,53,34.0,8.0,0.0,na,0.16351447999477386
367777000,2017-01-06 00:00:00,undefined,0,0.01320754716981132,0.0,0.1,0.03418128057789596,53,34.0,8.0,0.0,na,0.16437943279743195
367777000,2017-01-17 13:00:00,undefined,0,0.16666666666666663,0.0,0.4,0.09309493362512626,51,34.0,8.0,0.0,na,0.15771175920963287
367892000,2016-01-10 07:00:00,under way sailing,1001,8.754716981132079,8.1,9.3,0.26859036420645765,53,43.90000000000004,9.759999999999994,3.5,fishing,0.1751164197921753
367892000,2016-01-10 08:00:00,under way sailing,1001,8.925490196078433,8.3,9.4,0.23651058095138283,51,43.900000000000034,9.759999999999994,3.5,fishing,0.21115197241306305
367892000,2016-01-10 09:00:00,under way sailing,1001,9.00851063829787,8.6,9.3,0.17916447050981352,47,43.900000000000034,9.759999999999994,3.5,fishing,0.2338179498910904
367892000,2016-01-10 10:00:00,under way sailing,1001,9.08076923076923,8.4,9.7,0.2970696502066586,52,43.90000000000004,9.759999999999994,3.5,fishing,0.23359344899654388
367892000,2016-01-10 11:00:00,under way sailing,1001,9.192000000000002,8.8,9.6,0.18052078855921472,50,43.900000000000034,9.759999999999994,3.5,fishing,0.19095179438591003
368038000,2015-01-20 11:00:00,moored,1001,0.0,0.0,0.0,0.0,20,83.81999999999996,13.419999999999993,4.6800000000000015,fishing,0.1518571972846985
368038000,2015-01-20 12:00:00,moored,1001,0.0,0.0,0.0,0.0,20,83.81999999999996,13.419999999999993,4.6800000000000015,fishing,0.19256113469600677
368038000,2015-01-20 13:00:00,moored,1001,0.0,0.0,0.0,0.0,19,83.81999999999996,13.419999999999993,4.680000000000001,fishing,0.2169630378484726
368038000,2015-01-20 14:00:00,moored,1001,0.0,0.0,0.0,0.0,19,83.81999999999996,13.419999999999993,4.680000000000001,fishing,0.2181096225976944
368038000,2015-01-20 15:00:00,moored,1001,0.0,0.0,0.0,0.0,20,83.81999999999996,13.419999999999993,4.6800000000000015,fishing,0.19126635789871216
368038000,2015-01-20 16:00:00,moored,1001,0.0,0.0,0.0,0.0,20,83.81999999999996,13.419999999999993,4.6800000000000015,fishing,0.15111830830574036
368085000,2015-01-30 13:00:00,under way using engine,1001,0.0038461538461538464,0.0,0.1,0.019418390934515434,52,104.06999999999996,15.909999999999995,6.920000000000001,fishing,0.1638116091489792
368085000,2015-01-30 14:00:00,under way using engine,1001,0.018867924528301886,0.0,0.1,0.039499774943783914,53,104.06999999999996,15.909999999999993,6.920000000000001,fishing,0.19388914108276367
368085000,2015-01-30 15:00:00,under way using engine,1001,0.0038461538461538464,0.0,0.1,0.019418390934515434,52,104.06999999999996,15.909999999999995,6.920000000000001,fishing,0.20273926854133606
368085000,2015-01-30 16:00:00,under way using engine,1001,0.007547169811320755,0.0,0.1,0.026667876121581075,53,104.06999999999996,15.909999999999993,6.920000000000001,fishing,0.1825595498085022
368085000,2017-01-23 09:00:00,under way using engine,1001,3.75357142857143,3.3,4.1,0.20089087300607475,28,104.07000000000002,15.910000000000009,6.900000000000004,fishing,0.17229212820529938
368085000,2017-01-23 12:00:00,under way using engine,1001,4.054166666666666,0.7,7.7,1.6906338319172454,24,104.07,15.910000000000005,6.900000000000003,fishing,0.23700246214866638
368085000,2017-01-23 13:00:00,under way using engine,1001,3.5200000000000005,3.1,3.9,0.19712215212183254,15,104.06999999999995,15.909999999999998,6.900000000000002,fishing,0.2955721318721771
368085000,2017-01-23 14:00:00,under way using engine,1001,3.623076923076923,3.4,3.9,0.14232501627054284,13,104.06999999999995,15.909999999999998,6.900000000000001,fishing,0.30886074900627136
368085000,2017-01-23 15:00:00,under way using engine,1001,3.892857142857143,3.5,4.3,0.2071474183040977,28,104.07000000000002,15.910000000000009,6.900000000000004,fishing,0.2571503818035126
368150000,2016-01-30 01:00:00,under way using engine,1025,0.015384615384615384,0.0,0.1,0.03643213074786544,52,46.32999999999997,10.370000000000003,4.300000000000003,tugtow,0.16000612080097198
